BOOK,PAGE,TALENT,Desc.,TIER,PREREQUISITE,ACT,FP?,MtR?,BENEFIT,CLASS,TREE,ALL
K,60,Field Detection,"As a swift action, make a DC 15 Use the Force check. If the check succeeds, you can detect the presence, general strength, and origin (or direction of origin if the source is out of range) of electromagnetic and energy fields within 12 squares of you. You can also determine the type of field, allowing you to detect communications devices, sensors, and other electronic equipment. When dealing damage to a person or droid using a personal shield, or to a vehicle with shields active, a successful check allows you to detect minute fluctuations in the shield, reducing their SR by -5 against your attacks until the end of your turn. ",1,Use the Force skill,swif,,,"DC15 can detect presence, general strength, & origin of energy fields within 12sq, reduce shields by 5",Force-Using Traditions,Luka Sene,"Force Disciple, Jedi Master, Sith Lord"
CR,221,Field Tactics,"You know how to use existing terrain to best advantage. By using a move action, you can make a DC 15 Knowledge (tactics) check. If the check succeeds, you and all allies within 10 squares of you can use whatever cover is available to gain a +10 cover bonus to Reflex Defense (instead of the normal +5 cover bonus). Allies must be able to hear and understand you to gain this benefit, and the bonus lasts until the start of your next turn. This talent provides no benefit to anyone who doesn't have cover. This is a mind-affecting effect. ",2,Deployment Tactics,move,,,"DC15 Tactics, allies w/in 10 squares get +10 Cover bonus if in cover, until next turn",Officer,Military Tactics,Officer
SV,33,Fight to the Death,"Once per encounter, as a swift action, you can fill your companions with renewed vigor. All allies within 6 squares of you heal damage equal to your heroic level. ",2,Bloodthirsty,swif,,,1/encounter all allies in 6 sq heal hp = your HL,Master Privateer,Piracy,Master Privateer
SV,35,Find an Opening,"Whenever you would use Seize the Moment, you can forgo the swift action to be able to aim as a single swift action on your next turn. ",2,Seize the Moment,,,,forgo extra swif action to aim with 1 swif on your next turn,Outlaw,Outlaw,Outlaw
R,25,Find Openings,"Whenever you are missed by an attack, you gain a +2 morale bonus to your next attack roll before the end of your next turn.",1,,,,,"if missed by an atk, +2 on next atk before end of next turn",Scoundrel,Recklessness,Scoundrel
SV,26,Findsman Ceremonies,"Once per day, you can spend 10 minutes performing rituals that enhance your connection with the Force, receiving visions and portents as a result. At that time, you can spend any number of Force Points in the performance of the ritual, up to the total number you have remaining. For the remainder of the day, whenever you make a Perception or Stealth check, make a Use the Force check to use the farseeing Force power, or make an attack roll, you can choose to reroll but must keep the second result, even if it is worse. You may do this a number of times per day equal to the number of Force Points you spent during the casting of the ritual. At the end of the day, you regain Force Points equal to the number of rerolls you have remaining ",1,Force Sensitivity,,,y,"1/day 10 min spend FP & can reroll Perception, Stealth, farseeing, Atk roll, regain unspent FP",Bounty Hunter,Gand Findsman,Bounty Hunter
SV,26,Findsman's Foresight,"The visions you receive sometimes provide clues about dangerous situations. Whenever you make a Perception check to avoid surprise, you may roll two dice and keep the better result. ",2,Findsman Ceremonies,,,,can roll two dice for Perception to avoid surprise & keep better,Bounty Hunter,Gand Findsman,Bounty Hunter
C,26,Fire at Will,"As a full-round action, you and one of your followers can make a ranged attack against one target (each) in line of sight. You each take a -5 penalty to your attack rolls. ",2,"BAB+5, Commanding Officer",full,,,you and 1 follower can make ranged atk v. target in LOS with you each taking -5 on atk,Soldier,Squad Leader,Elite Trooper
SV,28,Flanking Fire,"Whenever you are flanked by two (or more) opponents and are wielding two pistols, you can make a full attack action as a standard action instead of a full-round action. This is provided that you target only opponents that flank you and attack at least two targets. ",1,Dual Weapon Mastery I,,,,"if flanked & with two pistols, attack flankers as stan instead of full, must attack two targets",Gunslinger,Pistoleer,Gunslinger
SV,17,Flee,"As a standard action, you can designate a single opponent and move up to your speed away from that opponent; this movement does not provoke attacks of opportunity from that opponent, though it might provoke as normal for all other opponents. In addition, your speed increases by 2 until the end of your next turn. ",2,Long Stride,stan,,,"designate single opp & move away +2 speed, no Atk of Opp from that opponent",Scout,Fringer,"Outlaw, Scout"
S,18,Fleet Deployment,"As a full-round action, you can designate a number of vehicles equal to your class level and within your line of sight. Those vehicles may immediately move a number of squares equal to their speed. ",1,Charisma 13,full,,,a number of vehicles = to your class level & LOS may move a number of squares = speed,Officer,Naval Officer,Officer
S,18,Fleet Tactics,"As a standard action, you may designate a single vehicle as the target of a large-scale assault. If you succeed on a DC 15 Knowledge (tactics) check, all allied gunners within line of sight deal 1 additional die of damage to the target with each successful ranged attack until the start of your next turn. This is a mind-affecting effect. ",2,"Cha 13, Fleet Deployment",stan,,,"DC15 Tactics, designate single vehicle, allied gunners in LOS +1 die damage",Officer,Naval Officer,Officer
CR,107,Flight,"As a swift action, you can spend a Force Point to fly. You gain a fly speed equal to your land speed, and you can ascend at half speed or descend at double speed. The flight lasts until the start of your next turn; if you're still airborne at that time, you fall. ",2,Adept Spellcaster,swif,x,,"fly speed double land speed, ascend 1/2 speed, descend double speed, until next turn",Force-Using Traditions,Dathomiri Witch,"Force Disciple, Jedi Master, Sith Lord"
J,85,Fluidity,"You use your Use the Force check modifier instead of your Acrobatics check modifier when making Acrobatics checks. If you are entitled to an Acrobatics check reroll, you may reroll your Use the Force check instead (subject to the same circumstances and limitations). Additionally, when you attempt a grapple or attempting to break free of a grapple, you can spend a Force Point to be treated as if you were one size category larger.",1,,,*,,"UtF for Acrobatics & can reroll UtF if can reroll Acrobatics, spend FP to be one size larger w/grapple",Force-Using Traditions,Shapers of Kro Var,"Force Disciple, Jedi Master, Sith Lord"
F,42,Flurry Attack,"Choose a single weapon group or exotic weapon you are proficient with. When you score a critical hit with a weapon from that group, you can make one immediate extra attack (in addition to the other effects of a critical hit) against a single target within range. You may only use this talent once per turn. You can select this talent multiple times. Its effects do not stack. Each time you take the talent, it applies to a new weapon group or exotic weapon. ",1,Weapon Proficiency feat for chosen weapon,,,,"with a crit make an additional attack against a target in range, once per turn",Elite Trooper,Critical Master,Elite Trooper
GW,33,Flurry of Blows,"When you make multiple unarmed attacks as a full attack action (see page 154 of the Saga Edition core rulebook), you reduce the penalty to your attack roll by 2. You can take this talent multiple times. Each time you take this talent, you reduce the penalty to your attack rolls by an additional 2.",1,,,,,"multiple unarmed atk with full atk have penalty reduced by 2, can be taken multiple times",Martial Arts Master,Unarmed Mastery,Martial Arts Master
K,26,Fluster,"You get under an enemy's skin. Once per encounter, make a Persuasion check to intimidate one creature within line of sight as a standard action. On a success, instead of the normal effect of an intimidate application of the Persuasion skill, the affected creature can take only a single swift action on its next turn. If the target is higher level than you, it gains a +5 bonus to its Will Defense against the skill check. This is a mind-affecting effect. ",2,"Presence, Persuasion",stan,,,"1/encounter, intimidate check opp in LOS vs. Will, can take only swif next turn (+5 if opp higher level)",Noble,Influence,"Crime Lord, Noble"
