BOOK,PAGE,FEAT,Desc.,PREREQUISITES,BENEFIT,Jedi,Noble,Scoundrel,Scout,Soldier,TAG
CR,85,Improved Defenses,"You gain a +1 bonus to your Reflex Defense, Fortitude Defense, and Will Defense. SSotG: This feat does not apply to the defenses of a vehicle, even if you are piloting or commanding it. This is one reason many pilots prefer the Dodge feat to Improved Defenses.",,+1 to all Def,,,,,,"[Will Defense], [fortitude defense], [reflex defense], [combat][defensive], [no][SotG]"
CR,85,Improved Disarm,"You gain a +5 bonus on any melee attack roll made to disarm an opponent. In addition, if you fail to disarm your opponent, he doesn't get to make a free attack against you. Normal: See the normal disarm rules on CR page 152.","Int 13, Melee Defense","+5 to melee attacks to Disarm, failure doesn't provoke Atk of Opp",x,,,,x,"[melee(armed, unarmed)][ok], [disarm], [combat][offensive], , [intelligence]"
K,31,Improved Disarm + Force Training,"When you use the Force disarm Force Power, you gain the +5 bonus from Improved Disarm on your Use the Force check as though you were making an attack roll. ","Combo, requires Force Training",gain +5 from Improved Disarm on Use the Force check,,,,,,"[melee(armed, unarmed)][ok], [force], [disarm], [combat][offensive], [combo]"
GI,28,Improved Opportunistic Trickery,"Whenever an opponent provokes an attack of opportunity from you, once per turn you can sacrifice the attack to reduce the target's Reflex Defense by 5 until the end of the target's next turn.","Combat Reflexes, Opportunistic Trickery, Sneak Attack","1/turn instead of AoO, reduce target's Ref Def by 5 for 1 turn",,,x,,,"[ranged(fired)][question gtaoo], [melee(armed, unarmed)], [attack of opportunity], [combat][offensive]"
K,33,Improved Rapid Strike,"When using a light melee weapon or lightsaber with the Rapid Strike feat, you can take a -5 penalty to your attack roll to gain +2 dice of damage on a successful strike. This does not stack with the Rapid Strike feat or extra damage provided by any source that does not stack with the Rapid Strike feat (such as Mighty Swing). Special: If you do not have a Dexterity of 13 or higher, the penalty to your attack roll is -10.",Rapid Strike,"-5 Atk to deal +2 die damage, melee, if no Dex 13 extra -10 Atk",x,,,,x,"[melee(armed, unarmed)][question ulswp], [combat][offensive], "
UR,26,Improved Sleight of Hand,"When using the Sleight of Hand application of the Stealth skill (CR page 73), you can use your Deception skill to improve your chance of success. Prior to making the Stealth check, you can make a Deception check as a swift action. The opposed Perception check of anyone attempting to notice your action must exceed both your Deception check and your Stealth check. Additionally, you can, as a single action, use Improved Sleight of Hand to simultaneously draw and palm a weapon two sizes smaller than you. Make a Stealth check as a free action when drawing your weapon to successfully conceal it in a position in your hand (or similar appendage), where you can use it on a following action. Once the weapon is used, you can attempt to palm it again as a swift action.","DEX 15, Skill Focus (Deception), trained in Deception and Stealth","Deception as swif opposed Perception must exceed Deception & Stealth, can draw & palm weapon 2 sizes smaller than you",,,x,,,"[dexterity], [skill(deception)], [skill(stealth)]"
UR,27,Improvised Weapon Mastery,"You treat all improvised weapons as simple weapons, and you can use them without penalty and with talents and feats designed for use with simple weapons. You also deal an additional 1d6 points of damage on a successful hit.",Weapon Proficiency (simple weapons).,all improvised as simple & +1d6 dam,,,,x,x,[combat][offensive]
SV,23,Impulsive Flight,You can withdraw one extra square using the withdraw action.,,can withdraw one extra square ,x,x,x,,,[mobility]
R,34,Inborn Resilience,"You can reduce your species bonus to any one defense score to +0 and increase your species bonus to another defense score to +2. Once you change your species bonuses in this way, they cannot be changed back.",Zabrak,"reduce species bonus to 1 Def to 0 & another to +2, cannot change back",,,,,,"[species(zabrak)], [fortitude defense], [reflex defense], [Will Defense], [combat][defensive]"
K,33,Increased Agility,"You increase your Climb speed, Swim speed and Jump distance by 2 squares and do not lose your Dexterity bonus to Reflex Defense when climbing.","Conditioning, STR 13, CON 13","increase Climb, Jump or Swim by 2 squares & don't lose Dex climbing",,,,x,x,"[skill(climb)], [skill(jump)], [skill(swim)], [dexterity]"
R,34,Increased Resistance,"Whenever an attack or skill check targets your Fortitude Defense and fails to equal or exceed it, you gain a +2 circumstance bonus to your Fortitude Defense until the start of your next turn.",Gamorrean,"if attack v. Fort Def fails, gain +2 Fort Def until start of your next turn",,,,,,"[species(gamorrean)], [fortitude defense], [combat][defensive]"
GI,28,Indomitable Personality,"Once per encounter, you can add your Charisma bonus to your Will Defense as a reaction; this benefit lasts until the end of your next turn.",Cha 13,1/enc add Cha mod to Will Def for 1 turn as reac,,x,x,,,"[charisma], [Will Defense], [combat][defensive]"
F,33,Informer,"You can use your Perception modifier instead of your Gather Information modifier when making Gather Information checks. You are considered trained in the Gather Information skill. If you are entitled to a Gather Information check reroll, you can reroll your Perception check instead (subject to the same circumstances and limitations). Additionally, when you have favorable conditions for your Gather Information check (such as from operating on your home planet), you reduce by half the time it takes to make a Gather Information check.",Trained in Perception,"Perception replaces Gather Info, considered trained, reduce time",,x,,,,"[skill(perception)]), [skill(gather information)]"
UR,27,Instinctive Attack,"When you use a Force Point when making an attack, you can reroll the attack and take the better result. Apply the results of the die from the Force Point to the better result.","Proficient in weapon used*, living character (not a droid).",when use FP on atk can reroll & keep better & apply Force Point,x,,,,,"[species(living)], [combat][offensive]"
UR,27,Instinctive Defense,"On your turn, as a free action, you can spend a Force Point to increase all your defenses by 2 until the start of your next turn.",Living character (not a droid),as free spend FP to increase all defenses by 2 until next turn,x,,,,,"[species(living)], [combat][offensive]"
R,34,Instinctive Perception,"Whenever you reroll a Perception check and take the second result, if your second result is lower than your first result, you gain a temporary Force Point. This Force Point can be spent only to add to the result of a Perception check, and if it is not spent before the end of the encounter, it is lost.",Zabrak,when you reroll Perception & take lower gain FP to use w/Perception until the end of the encounter,,,,,,"[species(zabrak)], [skill(perception)])"
UR,27,Intimidator,"When you successfully use the Intimidate application of the Persuasion skill against a creature, instead of the normal results, the creature takes a -5 penalty to all skill checks (including Use the Force) and a -2 penalty to all attacks when you are with in its line of sight, until the end of your next turn. If aboard another vehicle, your enemy must be able to see or detect your vehicle. Special: You cannot use this feat with the Maniacal Charge feat.",Trained in Persuasion,when intimidate instead of normal target -5 skills & -2 atk w/you in LOS,,x,,,,"[skill(persuasion)], [combat][offensive]"
SGD,22,Ion Shielding,"If the ion damage (before being halved) equals or exceeds your damage threshold, you move only -1 step on the condition track. Normal: If the ion damage (before being halved) equals or exceeds your damage threshold, you normally move -2 steps on the condition track.",Droid with Str 13 or cyborg with Con 13,if ion dam before being halved equals thresh move only -1 CT,,,,,,"[species(droid)], [species(cyborg)], [strength], [constitution), [damage threshold], [combat][defensive]"
C,31,Jedi Familiarity,"Once per encounter, when you are targeted or affected by a Force power or Force talent originating from an ally, you gain one temporary Force Point, which must be spent before the end of the encounter or it goes away. If the Force power or Force talent damages you or moves you down the condition track, you do not gain the benefit of this feat.",,1/encounter if targeted by Force from ally gain 1 FP until end of enc.,,,,,,[force]
R,34,Jedi Heritage,"Your Wisdom is considered to be 4 points higher for the purpose of determining how many Force Powers you gain from the Force Training feat, granting you two extra Force powers for each Force Training feat.","Twi'lek, Force Sensitivity",gain 2 extra Force powers for each Force Training,,,,,,"[species(twi’lek)], [force], [wisdom]"
